system:index,B11,B12,B2,B3,B4,B8,NDMI,NDVI,class,year,.geo
1_00000000000000000039,0.14305000007152557,0.062199998646974564,0.027049999684095383,0.04769999906420708,0.02604999952018261,0.2705000042915344,0.30818523243955553,0.8243129375461277,1,2024,"{""type"":""Point"",""coordinates"":[106.55487051448802,-6.729251695260441]}"
1_0000000000000000003a,0.18790000677108765,0.0843999981880188,0.03669999912381172,0.05559999868273735,0.030400000512599945,0.3285999894142151,0.27241042339262483,0.8306406609159113,1,2024,"{""type"":""Point"",""coordinates"":[106.47053107716314,-6.663426445509475]}"
1_0000000000000000003b,0.17755000293254852,0.07989999651908875,0.055799998342990875,0.07015000283718109,0.042750000953674316,0.3289499878883362,0.29891409220050263,0.7699757748884678,1,2024,"{""type"":""Point"",""coordinates"":[106.96217372291187,-6.4844604247294235]}"
1_0000000000000000003c,0.17730000615119934,0.08229999989271164,0.03539999946951866,0.05649999901652336,0.03400000184774399,0.29739999771118164,0.25300187609604524,0.7948098859807119,1,2024,"{""type"":""Point"",""coordinates"":[107.18433951469771,-6.63668521649196]}"
1_0000000000000000003d,0.14524999260902405,0.05999999865889549,0.035750001668930054,0.04414999857544899,0.023800000548362732,0.28005000948905945,0.31695277736901484,0.8433437567079131,1,2024,"{""type"":""Point"",""coordinates"":[106.96834511876985,-6.6641131470717045]}"
1_0000000000000000003e,0.16130000352859497,0.06520000100135803,0.04349999874830246,0.05999999865889549,0.03359999880194664,0.31540000438690186,0.32326410383786636,0.8074498653585098,1,2024,"{""type"":""Point"",""coordinates"":[106.56515766061833,-6.508459306599071]}"
1_0000000000000000003f,0.18039999902248383,0.0794999971985817,0.03099999949336052,0.05000000074505806,0.029100000858306885,0.3249000012874603,0.28596873575369514,0.8355932164863416,1,2024,"{""type"":""Point"",""coordinates"":[106.4750927375408,-6.565946037380094]}"
1_00000000000000000040,0.13815000653266907,0.060350000858306885,0.02694999985396862,0.0369499996304512,0.02239999920129776,0.22345000505447388,0.23589600605211303,0.8177750757490834,1,2024,"{""type"":""Point"",""coordinates"":[106.53028749038037,-6.6977526054189]}"
1_00000000000000000041,0.19040000438690186,0.08889999985694885,0.039799999445676804,0.057999998331069946,0.032099999487400055,0.3483999967575073,0.2932442316908205,0.8312746396626033,1,2024,"{""type"":""Point"",""coordinates"":[106.53852790912714,-6.525577795543248]}"
1_00000000000000000042,0.19689999520778656,0.09860000014305115,0.04039999842643738,0.06859999895095825,0.031099999323487282,0.3659000098705292,0.3002843161652524,0.8433249440642279,1,2024,"{""type"":""Point"",""coordinates"":[106.97843606445379,-6.616195647151375]}"
1_00000000000000000043,0.19169999659061432,0.08810000121593475,0.04270000010728836,0.05860000103712082,0.0357000008225441,0.3650999963283539,0.3114224172825639,0.8218562820542968,1,2024,"{""type"":""Point"",""coordinates"":[106.90099931555963,-6.778484629991539]}"
1_00000000000000000044,0.17749999463558197,0.08030000329017639,0.03999999910593033,0.054499998688697815,0.03319999948143959,0.29409998655319214,0.24724341935657757,0.7971280116221778,1,2024,"{""type"":""Point"",""coordinates"":[106.604428963596,-6.680455752432585]}"
1_00000000000000000045,0.23019999265670776,0.10279999673366547,0.05490000173449516,0.08940000087022781,0.04430000111460686,0.5548999905586243,0.4135778943366248,0.8521361758003311,1,2024,"{""type"":""Point"",""coordinates"":[107.07152871714656,-6.623611132203255]}"
1_00000000000000000046,0.11490000039339066,0.05559999868273735,0.03709999844431877,0.043800000101327896,0.02850000001490116,0.19020000100135803,0.2468043273147734,0.7393689997030924,1,2024,"{""type"":""Point"",""coordinates"":[106.99573737654116,-6.647502995647619]}"
1_00000000000000000047,0.125900000333786,0.0507499985396862,0.039400000125169754,0.045899998396635056,0.027950000017881393,0.23919999599456787,0.3103259293349462,0.790754254650418,1,2024,"{""type"":""Point"",""coordinates"":[106.604428963596,-6.48191873712896]}"
1_00000000000000000048,0.20024999976158142,0.09184999763965607,0.05310000106692314,0.07334999740123749,0.0434500016272068,0.35100001096725464,0.2734694027603897,0.7796932425408325,1,2024,"{""type"":""Point"",""coordinates"":[106.50145494296879,-6.540408765647008]}"
1_00000000000000000049,0.16680000722408295,0.07415000349283218,0.042100001126527786,0.059450000524520874,0.03150000050663948,0.33660000562667847,0.3373063052601364,0.8288508558446975,1,2024,"{""type"":""Point"",""coordinates"":[106.60113368791751,-6.638437643205964]}"
1_0000000000000000004a,0.15629999339580536,0.07509999722242355,0.02979999966919422,0.0414000004529953,0.026599999517202377,0.2583000063896179,0.24602029195996813,0.8132678205285667,1,2024,"{""type"":""Point"",""coordinates"":[107.19097911616628,-6.586538166044906]}"
